ticker,name,price_curr,change_1d,return_1w,alpha_1m,rvol,grade_score,description
244670,KODEX 밸류Plus,11040,-3.75,0.91,-24.58,303.1,A5,추세 전환 시도 중
483290,KODEX 미국배당다우존스타겟커버드콜,9990,2.72,0.91,-24.71,183.2,A3,추세 전환 시도 중
453630,KODEX 미국S&P500필수소비재,12795,3.27,1.19,-24.76,244.7,A4,추세 전환 시도 중
459750,RISE 글로벌주식분산액티브,17220,0.38,1.29,-24.95,99.0,A3,추세 전환 시도 중
237440,TIGER 경기방어채권혼합,10380,-0.86,0.05,-25.21,249.2,F5,시장 소외주: 관망 권고
490490,SOL 미국배당미국채혼합50,11025,1.94,1.29,-25.39,111.4,A2,추세 전환 시도 중
0036D0,TIME 미국배당다우존스액티브,10730,1.23,1.37,-25.43,69.7,A2,추세 전환 시도 중
463690,KODEX 미국S&P500커뮤니케이션,19940,2.05,3.4,-25.52,203.5,A5,추세 전환 시도 중
373790,KIWOOM 미국방어배당성장나스닥,16370,3.71,3.28,-25.65,299.9,A4,추세 전환 시도 중
0127T0,KIWOOM 미국S&P500&배당다우존스비중전환,10385,1.07,1.22,-25.67,31.7,A1,단기 반짝 가능성 체크
244660,KODEX 퀄리티Plus,9525,-2.61,1.06,-25.68,0.8,A2,추세 전환 시도 중
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),12640,0.04,1.81,-25.72,207.1,A4,추세 전환 시도 중
329670,KODEX TRF7030,21635,1.19,1.07,-25.85,98.4,A2,추세 전환 시도 중
475380,RISE 글로벌리얼티인컴,10630,1.24,0.85,-25.99,98.6,A2,추세 전환 시도 중
261920,ACE MSCI필리핀(합성),13930,1.57,1.68,-26.2,58.8,A1,단기 반짝 가능성 체크
0107F0,KIWOOM 미국고배당&AI테크,10650,2.16,1.82,-26.33,99.3,A2,추세 전환 시도 중
444490,WON 미국S&P500,19015,0.74,0.77,-26.37,106.2,A2,추세 전환 시도 중
0127V0,KIWOOM 미국S&P500 TOP10&배당다우비중전환,10185,0.89,1.39,-26.69,86.3,A2,추세 전환 시도 중
379780,RISE 미국S&P500,21700,0.7,0.77,-26.91,92.6,A2,추세 전환 시도 중
479520,RISE KOFR금리액티브(합성),104795,0.0,0.04,-27.01,206.5,F5,시장 소외주: 관망 권고
440340,TIGER 글로벌멀티에셋TIF액티브,12160,1.84,0.95,-27.08,60.3,A1,단기 반짝 가능성 체크
360150,KODEX 코스닥150롱코스피200숏선물,7010,0.14,4.39,-27.12,110.8,A2,추세 전환 시도 중
0004G0,1Q 미국배당TOP30,9310,2.82,1.03,-27.22,130.6,A3,추세 전환 시도 중
0089C0,KODEX 미국S&P500변동성확대시커버드콜,11070,1.1,1.0,-27.24,115.1,A2,추세 전환 시도 중
465580,ACE 미국빅테크TOP7 Plus,22460,0.0,0.81,-27.44,91.7,A1,단기 반짝 가능성 체크
0137V0,KIWOOM 미국S&P500모멘텀,9665,0.05,1.31,-27.59,40.2,A1,단기 반짝 가능성 체크
0080X0,SOL 미국S&P500미국채혼합50,11160,1.45,1.09,-27.78,90.8,A3,추세 전환 시도 중
409810,KODEX 미국나스닥100선물인버스(H),6490,2.04,2.12,-27.94,218.0,A4,추세 전환 시도 중
456610,TIGER 미국달러SOFR금리액티브(합성),62150,1.68,1.6,-27.95,137.6,A4,추세 전환 시도 중
456880,ACE 미국달러SOFR금리(합성),12590,1.78,1.61,-28.0,172.1,A4,추세 전환 시도 중
456200,PLUS 미국달러SOFR금리액티브(합성),62050,1.75,1.46,-28.03,7.8,A2,추세 전환 시도 중
460270,KIWOOM 미국달러SOFR금리액티브(합성),12980,1.6,1.53,-28.13,73.7,A2,추세 전환 시도 중
455960,RISE 미국달러SOFR금리액티브(합성),12505,1.5,1.58,-28.2,184.4,A3,추세 전환 시도 중
329750,TIGER 미국달러단기채권액티브,13545,1.65,1.46,-28.21,184.7,A4,추세 전환 시도 중
463640,KODEX 미국S&P500유틸리티,14415,0.45,1.26,-28.22,35.5,A2,추세 전환 시도 중
483570,KCGI 미국S&P500 TOP10,15155,0.13,0.83,-28.28,55.1,A1,단기 반짝 가능성 체크
0046A0,TIGER 미국초단기(3개월이하)국채,10140,1.71,1.45,-28.4,105.7,A2,추세 전환 시도 중
468380,KODEX iShares미국하이일드액티브,11830,1.76,0.94,-28.42,142.0,A3,추세 전환 시도 중
468370,KODEX iShares미국인플레이션국채액티브,11580,1.94,1.49,-28.44,95.0,A2,추세 전환 시도 중
468630,KODEX iShares미국투자등급회사채액티브,11960,2.18,0.97,-28.45,121.0,A3,추세 전환 시도 중
455030,KODEX 미국달러SOFR금리액티브(합성),12550,1.62,1.13,-28.55,184.1,A3,추세 전환 시도 중
332610,PLUS 미국단기회사채(AAA~A),133660,1.65,1.32,-28.58,347.9,A4,추세 전환 시도 중
0085P0,ACE 미국10년국채액티브,10720,2.1,1.28,-28.62,118.5,A2,추세 전환 시도 중
0048J0,KODEX 미국머니마켓액티브,14635,1.74,1.28,-28.64,145.3,A3,추세 전환 시도 중
437070,KODEX 아시아달러채권ESG플러스액티브,64355,1.96,1.16,-28.77,241.0,A4,추세 전환 시도 중
305080,TIGER 미국채10년선물,13275,2.04,1.57,-28.78,269.5,A4,추세 전환 시도 중
489000,PLUS 일본엔화초단기국채(합성),9985,0.96,1.01,-28.91,128.7,A3,추세 전환 시도 중
261240,KODEX 미국달러선물,14850,1.64,1.57,-28.92,197.0,A4,추세 전환 시도 중
138230,KIWOOM 미국달러선물,16805,1.51,1.33,-29.26,94.4,A3,추세 전환 시도 중
438080,ACE 미국S&P500미국채혼합50액티브,13960,1.49,1.45,-29.4,91.4,A2,추세 전환 시도 중
0013P0,RISE 미국은행TOP10,12030,0.92,3.26,-29.41,231.7,A4,추세 전환 시도 중
261250,KODEX 미국달러선물레버리지,17650,3.34,3.19,-29.65,153.4,A4,추세 전환 시도 중
308620,KODEX 미국10년국채선물,12445,2.26,1.8,-29.72,178.5,A3,추세 전환 시도 중
334700,RISE 팔라듐선물인버스(H),3010,14.45,27.0,-29.76,305.9,A5,추세 전환 시도 중
169950,KODEX 차이나A50,25725,0.29,1.16,-29.78,288.5,A5,추세 전환 시도 중
437350,RISE 미국단기투자등급회사채액티브,12865,1.98,1.98,-29.83,162.2,A4,추세 전환 시도 중
292560,TIGER 일본엔선물,8730,0.81,1.04,-30.11,112.7,A2,추세 전환 시도 중
261110,TIGER 미국달러선물레버리지,17665,3.43,3.27,-30.2,248.2,A5,추세 전환 시도 중
225800,KIWOOM 미국달러선물레버리지,16610,2.91,2.69,-30.31,149.4,A4,추세 전환 시도 중
447660,PLUS 애플채권혼합,13000,0.31,0.93,-30.39,160.0,A3,추세 전환 시도 중
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),38455,-0.14,1.2,-30.4,110.1,A1,단기 반짝 가능성 체크
465620,ACE 미국빅테크TOP7 Plus인버스(합성),7250,0.07,-1.29,-30.79,340.1,F5,시장 소외주: 관망 권고
440650,ACE 미국달러단기채권액티브,12085,1.77,1.77,-30.96,247.1,A5,추세 전환 시도 중
225030,TIGER 미국S&P500선물인버스(H),2510,1.01,1.21,-30.98,218.8,A4,추세 전환 시도 중
291680,RISE 차이나H선물인버스(H),7535,3.86,1.96,-31.77,124.3,A3,추세 전환 시도 중
475350,RISE 버크셔포트폴리오TOP10,13980,1.08,2.23,-32.36,138.9,A3,추세 전환 시도 중
280940,KODEX 골드선물인버스(H),3275,11.21,8.44,-34.02,927.4,A4,추세 전환 시도 중
0002C0,에셋플러스 인도일등기업포커스20액티브,9475,-0.05,0.8,-36.79,177.8,A3,추세 전환 시도 중
491630,RISE 미국반도체인버스(합성 H),10200,4.51,1.64,-48.44,227.7,A4,추세 전환 시도 중
