Ticker,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25
^IXIC,23733.900390625,23709.869140625,23471.75,23530.01953125,23515.390625,,22954.3203125,23224.8203125,23436.01953125,23501.240234375,23601.359375,23817.099609375,23857.44921875,23685.119140625,23461.8203125,23592.109375,23255.189453125,22904.580078125,22540.58984375,23031.2109375,23238.669921875,23102.470703125,23066.470703125,22597.150390625,22546.669921875,,22578.380859375,22753.630859375,22682.73046875,22886.0703125,22627.26953125,22863.6796875,23152.078125
KRW=X,1455.239990234375,1464.9300537109375,1473.010009765625,1462.9000244140625,1468.8399658203125,1471.5799560546875,1471.52001953125,1477.780029296875,1464.8299560546875,1463.260009765625,1444.81005859375,1440.97998046875,1432.510009765625,1429.27001953125,1428.760009765625,1448.800048828125,1452.5400390625,1446.6800537109375,1460.1099853515625,1470.6800537109375,1462.4000244140625,1458.5400390625,1455.3299560546875,1444.18994140625,1440.9000244140625,1439.52001953125,1440.22998046875,1439.969970703125,1440.1600341796875,1447.75,1443.43994140625,1442.199951171875,1427.8499755859375
^SOX,7674.83984375,7747.990234375,7701.47021484375,7837.2998046875,7927.41015625,,7794.18994140625,8042.06982421875,8055.169921875,7957.93017578125,7927.0400390625,8117.18017578125,8306.740234375,8320.3896484375,7998.47021484375,8134.490234375,7966.330078125,7619.16015625,7614.64013671875,8048.6201171875,8162.580078125,8107.1298828125,8291.8603515625,8084.7001953125,8137.85986328125,,8136.0498046875,8214.349609375,8173.2998046875,8260.419921875,8213.4599609375,8332.33984375,8467.4296875
