market,ticker,name,2025-12-16_P,2025-12-16_V,2025-12-17_P,2025-12-17_V,2025-12-18_P,2025-12-18_V,2025-12-19_P,2025-12-19_V,2025-12-22_P,2025-12-22_V,2025-12-23_P,2025-12-23_V,2025-12-24_P,2025-12-24_V,2025-12-26_P,2025-12-26_V,2025-12-29_P,2025-12-29_V,2025-12-30_P,2025-12-30_V,2026-01-02_P,2026-01-02_V,2026-01-05_P,2026-01-05_V,2026-01-06_P,2026-01-06_V,2026-01-07_P,2026-01-07_V,2026-01-08_P,2026-01-08_V,2026-01-09_P,2026-01-09_V,2026-01-12_P,2026-01-12_V,2026-01-13_P,2026-01-13_V,2026-01-14_P,2026-01-14_V,2026-01-15_P,2026-01-15_V,2026-01-16_P,2026-01-16_V,2026-01-19_P,2026-01-19_V,2026-01-20_P,2026-01-20_V,2026-01-21_P,2026-01-21_V,2026-01-22_P,2026-01-22_V,2026-01-23_P,2026-01-23_V,2026-01-26_P,2026-01-26_V,2026-01-27_P,2026-01-27_V,2026-01-28_P,2026-01-28_V,2026-01-29_P,2026-01-29_V
ETF,290080,RISE 200고배당커버드콜ATM,9059.0,16780.0,9089.0,21573.0,9045.0,14337.0,9050.0,7327.0,9040.0,19960.0,9045.0,10014.0,9064.0,4606.0,8937.0,28062.0,8719.0,26322.0,8719.0,11129.0,8417.0,37456.0,8115.0,129066.0,8025.0,53471.0,8006.0,36084.0,7817.0,71284.0,7897.0,28590.0,7926.0,22160.0,8025.0,18896.0,8144.0,20794.0,8085.0,42203.0,8124.0,20904.0,8124.0,16906.0,8298.0,65512.0,8323.0,19431.0,8337.0,38921.0,8313.0,19615.0,8194.0,14879.0,8179.0,73951.0,8120.0,17845.0,8125.0,54098.0
ETF,284980,RISE 200금융,16590.0,3722.0,16694.0,6891.0,16614.0,3143.0,16758.0,3737.0,17032.0,10947.0,17012.0,15793.0,17126.0,6557.0,16893.0,8124.0,17086.0,16020.0,16992.0,6414.0,17012.0,9796.0,17146.0,13745.0,17414.0,20145.0,17131.0,9900.0,16902.0,6640.0,16942.0,4989.0,16982.0,14361.0,17071.0,14294.0,17329.0,19172.0,17325.0,19550.0,17573.0,10505.0,17399.0,9209.0,17856.0,23977.0,17866.0,15726.0,17965.0,24329.0,18491.0,26649.0,18367.0,14621.0,18943.0,17167.0,18770.0,18718.0,19260.0,12330.0
ETF,252400,RISE 200선물레버리지,37464.0,5578.0,38951.0,4840.0,38014.0,7954.0,38470.0,12397.0,40258.0,14124.0,40566.0,19871.0,40546.0,9810.0,41235.0,11249.0,43465.0,7170.0,43830.0,9281.0,46270.0,22024.0,49795.0,25341.0,51500.0,60164.0,52245.0,19718.0,52125.0,16456.0,52965.0,17215.0,53545.0,15220.0,54985.0,10045.0,55615.0,12424.0,57420.0,5642.0,58770.0,18734.0,60400.0,3691.0,59450.0,30438.0,60390.0,23109.0,61765.0,30239.0,62555.0,31832.0,61260.0,21278.0,65620.0,15685.0,68020.0,43556.0,69470.0,62557.0
ETF,252420,RISE 200선물인버스2X,724.0,467015.0,698.0,191307.0,713.0,305627.0,706.0,209920.0,675.0,216258.0,671.0,389780.0,668.0,211168.0,659.0,278271.0,626.0,1119809.0,620.0,337376.0,584.0,523992.0,541.0,937409.0,524.0,871156.0,514.0,716369.0,516.0,867473.0,507.0,428829.0,500.0,843126.0,488.0,438119.0,482.0,453967.0,464.0,471320.0,455.0,429412.0,444.0,954143.0,449.0,968516.0,442.0,693314.0,432.0,1176995.0,428.0,356160.0,434.0,1341918.0,406.0,901113.0,391.0,1231230.0,381.0,1667211.0
ETF,252410,RISE 200선물인버스,3365.0,5990.0,3305.0,5667.0,3345.0,23777.0,3315.0,2596.0,3250.0,2258.0,3240.0,1950.0,3245.0,612.0,3215.0,512.0,3120.0,4845.0,3120.0,6235.0,3030.0,1171.0,2925.0,5991.0,2865.0,12401.0,2855.0,27284.0,2855.0,8461.0,2830.0,6116.0,2810.0,13583.0,2780.0,10934.0,2760.0,5319.0,2720.0,35352.0,2685.0,50652.0,2640.0,15572.0,2665.0,22193.0,2640.0,49645.0,2620.0,47639.0,2600.0,39782.0,2620.0,73830.0,2530.0,33792.0,2480.0,144097.0,2465.0,34404.0
ETF,475720,RISE 200위클리커버드콜,10143.0,1577460.0,10327.0,1350908.0,10220.0,1794768.0,10274.0,870672.0,10410.0,1325081.0,10448.0,1080056.0,10488.0,1597666.0,10561.0,2594919.0,10620.0,1506847.0,10684.0,1517966.0,10832.0,2405180.0,10950.0,1902140.0,11058.0,2578978.0,11137.0,2242106.0,11157.0,1449867.0,11246.0,951113.0,11374.0,1144890.0,11462.0,879716.0,11536.0,1400815.0,11650.0,1030283.0,11724.0,1957684.0,11797.0,1587381.0,11738.0,2572491.0,11822.0,1834577.0,11970.0,1632384.0,12083.0,2188764.0,12034.0,2350780.0,12290.0,2732388.0,12345.0,4026103.0,12340.0,3831333.0
ETF,148020,RISE 200,56724.0,1045871.0,57826.0,978479.0,57168.0,602551.0,57427.0,750562.0,58804.0,1258559.0,58969.0,725873.0,58989.0,810095.0,59503.0,506339.0,61085.0,1602957.0,61280.0,847909.0,63071.0,1407175.0,65491.0,1746174.0,66599.0,1761771.0,67128.0,3095706.0,67078.0,2073321.0,67642.0,2103543.0,68051.0,1879411.0,68950.0,2193740.0,69299.0,1403206.0,70492.0,2136002.0,71270.0,2499336.0,72278.0,2110275.0,71694.0,2102673.0,72233.0,2120308.0,73047.0,3109103.0,73526.0,2730956.0,72802.0,2041940.0,75352.0,2570711.0,76690.0,5423324.0,77605.0,3190532.0
ETF,0122W0,RISE 26-11 회사채(AA-이상)액티브,49980.0,7766.0,49965.0,1520.0,49995.0,670.0,50000.0,2122.0,50015.0,10083.0,50005.0,6494.0,50040.0,791.0,50030.0,2523.0,50060.0,261.0,50050.0,3264.0,50055.0,2886.0,50075.0,4910.0,50100.0,7358.0,50120.0,2568.0,50140.0,3042.0,50145.0,477.0,50135.0,948.0,50155.0,1151.0,50165.0,2687.0,50155.0,2821.0,50160.0,203.0,50175.0,1128.0,50180.0,4182.0,50165.0,5413.0,50180.0,1214.0,50195.0,4160.0,50200.0,7293.0,50190.0,1144.0,50180.0,3315.0,50180.0,2416.0
ETF,465330,RISE 2차전지TOP10,10800.0,378067.0,10870.0,216751.0,10225.0,684271.0,10160.0,588888.0,10355.0,301648.0,10295.0,171221.0,10350.0,252246.0,10225.0,326604.0,10215.0,180577.0,9810.0,290953.0,9565.0,315748.0,9845.0,351012.0,10010.0,236922.0,9900.0,372980.0,9795.0,234812.0,9670.0,156755.0,10100.0,387706.0,10675.0,493763.0,10365.0,365216.0,10585.0,263742.0,10280.0,239406.0,10720.0,410354.0,11055.0,1258439.0,10870.0,594914.0,11750.0,950359.0,11700.0,1181219.0,12550.0,1084917.0,12600.0,670257.0,13530.0,1125646.0,13510.0,1475559.0
ETF,465350,RISE 2차전지TOP10인버스(합성),23527.0,253390.0,23458.0,138812.0,24749.0,298795.0,24887.0,258985.0,24424.0,81545.0,24636.0,79627.0,24390.0,116256.0,24735.0,161747.0,24785.0,101525.0,25735.0,136110.0,26385.0,179687.0,25695.0,202282.0,25205.0,170433.0,25575.0,177739.0,25770.0,109730.0,26045.0,174954.0,24940.0,305458.0,23430.0,412723.0,24135.0,217121.0,23705.0,145823.0,24315.0,150684.0,23255.0,254389.0,22580.0,339734.0,22895.0,298652.0,20940.0,1568919.0,20990.0,1008756.0,19530.0,1084112.0,19310.0,452147.0,17900.0,874065.0,17935.0,1131341.0
ETF,422420,RISE 2차전지액티브,7089.0,294640.0,7169.0,188578.0,6785.0,349503.0,6804.0,359715.0,6964.0,234592.0,6889.0,169696.0,6884.0,164758.0,6790.0,170827.0,6860.0,312123.0,6625.0,233780.0,6590.0,280354.0,6780.0,285569.0,6865.0,135242.0,6755.0,367721.0,6640.0,307823.0,6615.0,200686.0,6810.0,408490.0,7075.0,784178.0,7030.0,467911.0,7130.0,346936.0,7000.0,185116.0,7205.0,385891.0,7480.0,1467221.0,7410.0,407493.0,7915.0,1476619.0,7860.0,1176564.0,8290.0,1946077.0,8430.0,2736194.0,9080.0,6526920.0,9085.0,2516901.0
ETF,105780,RISE 5대그룹주,9225.0,7748.0,9340.0,5267.0,9140.0,8404.0,9220.0,3586.0,9380.0,5355.0,9405.0,11068.0,9395.0,8035.0,9390.0,6669.0,9585.0,10462.0,9640.0,16797.0,9800.0,17487.0,10075.0,9219.0,10240.0,34469.0,10500.0,17884.0,10490.0,25850.0,10630.0,12228.0,10685.0,31169.0,11085.0,45821.0,11145.0,29933.0,11280.0,31488.0,11305.0,45507.0,11750.0,52888.0,11595.0,46099.0,11870.0,50459.0,11865.0,53267.0,11860.0,52034.0,11690.0,29930.0,11900.0,23691.0,12060.0,27028.0,12335.0,28680.0
